,TONDUR,EngSpDist_K1,EngSpDist_K2,EngSpDist_K3,EngSpDist_K4,EngSpDist_K5,EngSpDist_K6,EngSpDist_K7,AmbTempDist_K5,AmbTempDist_K6,AmbTempDist_K7,AmbTempDist_K8,AmbTempDist_K9,AmbTempDist_K10,MILEAGE,SlopeAmbTempDist,LABEL
3640,13.97979933036573,13.044254149353815,12.778633427180266,11.899372877642582,10.2368693042389,8.700014623251842,8.054204897064407,7.1331363252365385,0.0,4.189654742026425,6.126869184114185,5.605802066295998,2.70805020110221,0.0,9.276783328524896,2.918262011877997,0
4170,14.705071983594898,14.104431213055797,13.481027820975571,11.727096079625909,9.725598159178759,8.532928735802296,7.879556400783859,7.242297082086402,1.0986122886681098,3.58351893845611,4.48863636973214,6.54965074223381,6.511745329644728,3.6109179126442243,9.490846760678869,3.9968096873956647,1
1857,13.195658819544928,12.22278373423586,12.191782019207048,10.543289334582392,8.283797263637677,6.787506706385962,4.861361591348501,3.4404180948154366,0.0,2.4849066497880004,3.6635616461296463,5.8289456176102075,5.1647859739235145,2.4849066497880004,8.242756345714477,2.996338150579493,0
1578,14.087969773443842,13.159518304443845,13.16135541056618,11.770474307728602,8.814612700773749,6.562302840780143,4.334672938290411,3.3463891451671604,0.0,4.59511985013459,5.420534999272286,5.6240175061873385,4.330733340286331,0.0,9.445017159104065,2.846669637750419,0
3501,15.2252249173663,14.633719949914218,14.078515386457585,12.236693020026781,8.822896894365813,7.736700032439303,6.431170038370847,5.519859636495273,0.0,3.6109179126442243,6.486160788944089,6.898714534329988,6.408528791059498,0.6931471805599453,10.184673571244208,4.23252422578613,1
2729,14.049507556951339,13.04869832253288,12.96977287985949,11.886635681196246,9.491065803011562,6.830982220176224,5.367376902479531,4.401829261970061,0.0,4.343805421853684,6.396929655216146,6.413458957167357,5.123963979403259,1.6094379124341003,9.166492972195906,3.640452860208462,0
4244,12.862578403704669,11.894603217286082,11.533661969792506,9.087460620099419,6.884281922796495,5.413875707182309,4.788324729085938,4.22829253473184,0.0,2.6390573296152584,4.174387269895637,5.093750200806762,5.14166355650266,0.0,7.430707082545968,2.6646997602285962,0
1684,13.650401335375651,12.681289847953797,12.740334580875663,11.423367211077652,8.655284173296776,6.8228507718916935,5.061961921261596,4.165113633110308,0.0,1.6094379124341003,3.6888794541139363,5.247024072160486,5.991464547107982,4.499809670330265,9.06496771896043,3.375620539872506,0
2702,13.638913107172016,12.697362176476515,12.563394580125307,11.512686436405177,9.049055974248027,7.095561766006662,5.848171377281505,5.060694493968993,0.0,2.0794415416798357,5.641907070938114,6.192362489474872,3.6888794541139363,0.0,8.838261682885651,3.117681701904901,0
4052,14.221266557092877,13.567797508355817,12.698711284147041,10.028153513091917,7.427917183725115,6.0333260012029,5.241217774507464,4.2612704335380815,0.0,1.6094379124341003,4.394449154672439,6.634633357861686,5.683579767338681,0.0,8.399535147948004,3.635989990193564,0
2881,15.28980590624808,14.884156095190878,13.781458615670147,12.248675613175871,9.465563816753804,7.33033967889769,6.199291394310299,5.113191882421348,0.0,3.912023005428146,6.2285110035911835,6.46302945692067,6.042632833682381,5.214935757608986,9.756436609824092,4.0550996063507245,1
2079,14.500336512958137,13.606046883991619,13.520907255630572,11.925682588260726,9.070054792527058,7.4136688583871075,5.663654683565421,4.722063937459591,0.0,3.871201010907891,6.7650389767805414,6.844815479208263,4.3694478524670215,0.0,9.469468637009902,3.8869848786091534,0
4317,14.602800100330837,13.969165114742843,13.284926005947286,11.633547134557066,9.720381688253449,8.528152913652573,7.904187175221271,7.267385850746502,0.0,2.6390573296152584,5.19295685089021,6.963189985870238,5.942799375126701,0.6931471805599453,9.375006993531416,3.960986314780246,0
3704,13.97658796396612,12.794587101083971,13.135220568351878,11.627654062799431,9.200229428225454,6.533934176208434,3.7376696182833684,2.4159137783010487,0.0,3.4965075614664802,5.926926025970411,5.720311776607412,3.367295829986474,0.0,9.266437111328052,2.912021229593018,0
1814,13.040768649303256,12.001583390864182,11.979898255862091,10.604543377164115,7.714365064452884,4.845760650906022,3.4210000089583352,2.917770732084279,3.044522437723423,4.543294782270004,4.532599493153256,5.187385805840755,2.9444389791664403,0.0,8.21932609390609,2.2270775404859005,0
2237,12.871366241637972,11.560641719371597,11.647942253847305,10.814777802815522,7.695439613366071,6.6814818346589995,4.238444906195857,3.5263605246161616,0.6931471805599453,4.127134385045092,4.762173934797756,4.983606621708336,2.302585092994046,0.0,8.128585200374497,2.1100295287508852,0
